GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
a1-readisaa,nz.ac.vuw.swen301.a1,MemAppender,34,112,2,6,7,28,4,12,3,9
a1-readisaa,nz.ac.vuw.swen301.a1,JSONLayout,0,51,0,0,0,10,0,4,0,4
